
QOS:		0
QTA:		100
SLEEP:		10
AVG:		736.46533
MISS ORDER:		2
FIRST MISS ORDER:		5262
QTA - ARRIVED:		-1

QOS:		0
QTA:		1000
SLEEP:		10
AVG:		117.995
MISS ORDER:		1
FIRST MISS ORDER:		52707
QTA - ARRIVED:		0

QOS:		0
QTA:		10000
SLEEP:		10
AVG:		109.5563
MISS ORDER:		1
FIRST MISS ORDER:		530055
QTA - ARRIVED:		0

QOS:		1
QTA:		100
SLEEP:		10
AVG:		131.92929
MISS ORDER:		1
FIRST MISS ORDER:		5254
QTA - ARRIVED:		1

QOS:		1
QTA:		1000
SLEEP:		10
AVG:		111.70529
MISS ORDER:		2
FIRST MISS ORDER:		52814
QTA - ARRIVED:		-1

QOS:		1
QTA:		10000
SLEEP:		10
AVG:		106.7883
MISS ORDER:		1
FIRST MISS ORDER:		525592
QTA - ARRIVED:		0

QOS:		2
QTA:		100
SLEEP:		10
AVG:		4524.34
MISS ORDER:		1
FIRST MISS ORDER:		5144
QTA - ARRIVED:		0

QOS:		2
QTA:		1000
SLEEP:		10
AVG:		114.206795
MISS ORDER:		2
FIRST MISS ORDER:		53462
QTA - ARRIVED:		-1

QOS:		2
QTA:		10000
SLEEP:		10
AVG:		108.7103
MISS ORDER:		1
FIRST MISS ORDER:		526554
QTA - ARRIVED:		0

